Precinct,County,Registered Voters,Mike Cleveland (I) (Rep)_Election Day Votes,Mike Cleveland (I) (Rep)_Advanced Voting Votes,Mike Cleveland (I) (Rep)_Absentee by Mail Votes,Mike Cleveland (I) (Rep)_Provisional Votes,Mike Cleveland (I) (Rep)_Choice Total,Total,
Hartwell,Hart,6451,615,2635,866,2,4118,4118,
Goldmine,Hart,1901,390,662,211,0,1263,1263,
Cokesbury,Hart,1162,207,360,134,0,701,701,
Reed Creek,Hart,2990,482,1269,425,1,2177,2177,
Bowersville,Hart,1395,352,468,95,0,915,915,
Shoal Creek,Hart,1656,373,573,213,0,1159,1159,
Bio,Hart,1374,271,544,151,0,966,966,
