Precinct,County,Registered Voters,Lee Anderson (I) (Rep)_Election Day Votes,Lee Anderson (I) (Rep)_Advanced Voting Votes,Lee Anderson (I) (Rep)_Absentee by Mail Votes,Lee Anderson (I) (Rep)_Provisional Votes,Lee Anderson (I) (Rep)_Choice Total,Total,
Hartwell,Hart,6451,576,2449,754,1,3780,3780,
Goldmine,Hart,1901,381,642,201,0,1224,1224,
Cokesbury,Hart,1162,187,320,95,0,602,602,
Reed Creek,Hart,2990,474,1217,349,1,2041,2041,
Bowersville,Hart,1395,337,442,76,0,855,855,
Shoal Creek,Hart,1656,364,565,196,0,1125,1125,
Bio,Hart,1374,249,505,121,0,875,875,
