Precinct,County,Registered Voters,Karen Martin (I) (Rep)_Election Day Votes,Karen Martin (I) (Rep)_Advanced Voting Votes,Karen Martin (I) (Rep)_Absentee by Mail Votes,Karen Martin (I) (Rep)_Provisional Votes,Karen Martin (I) (Rep)_Choice Total,Brad Goss (Dem)_Election Day Votes,Brad Goss (Dem)_Advanced Voting Votes,Brad Goss (Dem)_Absentee by Mail Votes,Brad Goss (Dem)_Provisional Votes,Brad Goss (Dem)_Choice Total,Total,
Hartwell,Hart,6451,481,2298,696,1,3476,189,594,386,1,1170,4646,
Goldmine,Hart,1901,361,605,171,0,1137,50,102,76,0,228,1365,
Cokesbury,Hart,1162,156,289,74,0,519,78,137,98,0,313,832,
Reed Creek,Hart,2990,460,1196,349,1,2006,61,139,122,0,322,2328,
Bowersville,Hart,1395,335,423,85,0,843,34,74,29,0,137,980,
Shoal Creek,Hart,1656,359,552,192,0,1103,36,51,48,0,135,1238,
Bio,Hart,1374,249,481,106,0,836,34,117,67,0,218,1054,
