Precinct,County,Registered Voters,Robert McEver (I)_Election Day Votes,Robert McEver (I)_Advanced Voting Votes,Robert McEver (I)_Absentee by Mail Votes,Robert McEver (I)_Provisional Votes,Robert McEver (I)_Choice Total,Total,
Central Jackson,Jackson,16263,371,1233,331,0,1935,1935,
West Jackson,Jackson,14977,181,863,228,0,1272,1272,
