Precinct,County,Registered Voters,Candace Taylor Heaton (I) (Rep)_Election Day Votes,Candace Taylor Heaton (I) (Rep)_Advanced Voting Votes,Candace Taylor Heaton (I) (Rep)_Absentee by Mail Votes,Candace Taylor Heaton (I) (Rep)_Provisional Votes,Candace Taylor Heaton (I) (Rep)_Choice Total,Total,
Central Jackson,Jackson,16263,1638,7241,1589,2,10470,10470,
North Jackson,Jackson,12699,1424,4945,1443,1,7813,7813,
West Jackson,Jackson,14977,1625,7026,1742,2,10395,10395,
South Jackson,Jackson,8012,958,2942,919,1,4820,4820,
