Precinct,County,Registered Voters,Gabriel Bradford (Rep)_Election Day Votes,Gabriel Bradford (Rep)_Advanced Voting Votes,Gabriel Bradford (Rep)_Absentee by Mail Votes,Gabriel Bradford (Rep)_Provisional Votes,Gabriel Bradford (Rep)_Choice Total,Total,
Central Jackson,Jackson,16263,1625,7189,1582,2,10398,10398,
North Jackson,Jackson,12699,1411,4910,1425,1,7747,7747,
West Jackson,Jackson,14977,1608,6962,1714,2,10286,10286,
South Jackson,Jackson,8012,949,2914,909,1,4773,4773,
