Precinct,County,Registered Voters,Dan Scott Sailors (I)_Election Day Votes,Dan Scott Sailors (I)_Advanced Voting Votes,Dan Scott Sailors (I)_Absentee by Mail Votes,Dan Scott Sailors (I)_Provisional Votes,Dan Scott Sailors (I)_Choice Total,Total,
Central Jackson,Jackson,16263,50,264,74,0,388,388,
North Jackson,Jackson,12699,190,836,237,0,1263,1263,
