Precinct,County,Registered Voters,Lynne Massey Wheeler (I) (Rep)_Election Day Votes,Lynne Massey Wheeler (I) (Rep)_Advanced Voting Votes,Lynne Massey Wheeler (I) (Rep)_Absentee by Mail Votes,Lynne Massey Wheeler (I) (Rep)_Provisional Votes,Lynne Massey Wheeler (I) (Rep)_Choice Total,Total,
North Jackson,Jackson,12699,147,593,158,0,898,898,
South Jackson,Jackson,8012,638,2162,664,1,3465,3465,
