Precinct,County,Registered Voters,Nath Morris (I) (Rep)_Election Day Votes,Nath Morris (I) (Rep)_Advanced Voting Votes,Nath Morris (I) (Rep)_Absentee by Mail Votes,Nath Morris (I) (Rep)_Provisional Votes,Nath Morris (I) (Rep)_Choice Total,Total,
Wilson,Hall,0,361,963,453,1,1778,1778,
Chicopee,Hall,0,166,301,125,0,592,592,
Oakwood I,Hall,0,302,691,232,0,1225,1225,
Oakwood II,Hall,0,442,1544,519,1,2506,2506,
Flowery Branch I,Hall,0,491,1701,579,0,2771,2771,
Flowery Branch II,Hall,0,463,1247,363,0,2073,2073,
Roberts,Hall,0,405,1513,648,1,2567,2567,
Morgan I,Hall,0,510,1729,431,0,2670,2670,
Morgan II,Hall,0,466,1861,566,2,2895,2895,
Candler,Hall,0,635,1900,589,0,3124,3124,
Tadmore,Hall,0,617,1424,519,4,2564,2564,
Glade,Hall,0,387,1232,335,2,1956,1956,
Lula,Hall,0,588,1291,331,9,2219,2219,
Clermont,Hall,0,436,1740,367,1,2544,2544,
Quillians,Hall,0,248,1466,322,1,2037,2037,
Bark Camp,Hall,0,534,2526,695,3,3758,3758,
Chestatee,Hall,0,527,1496,499,2,2524,2524,
Fork,Hall,0,549,1225,433,0,2207,2207,
Whelchel,Hall,0,397,1812,536,0,2745,2745,
West Whelchel,Hall,0,257,1120,544,1,1922,1922,
Gainesville I,Hall,0,48,140,41,3,232,232,
Gainesville II,Hall,0,84,175,124,1,384,384,
Gainesville III,Hall,0,144,253,129,0,526,526,
Gainesville IV,Hall,0,41,67,25,0,133,133,
Gainesville V,Hall,0,2,2,1,0,5,5,
Gillsville,Hall,0,332,388,95,1,816,816,
Big Hickory,Hall,0,399,1912,482,1,2794,2794,
Friendship I,Hall,0,604,3800,1484,2,5890,5890,
Friendship II,Hall,0,425,1276,322,1,2024,2024,
Friendship III,Hall,0,413,2009,441,2,2865,2865,
Friendship IV,Hall,0,210,1815,354,3,2382,2382,
