Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
Wilson,Hall,0,337,1674,929,0,2940,162,427,579,1,1169,18,39,39,0,96,4205,
Chicopee,Hall,0,220,753,220,1,1194,186,493,245,1,925,27,41,16,0,84,2203,
Oakwood I,Hall,0,221,549,177,0,947,151,368,158,0,677,18,32,10,0,60,1684,
Oakwood II,Hall,0,401,1431,449,2,2283,96,360,231,0,687,16,35,25,0,76,3046,
Flowery Branch I,Hall,0,428,1512,451,0,2391,99,364,306,1,770,20,47,26,0,93,3254,
Flowery Branch II,Hall,0,381,1050,246,5,1682,110,329,239,0,678,27,50,18,0,95,2455,
Roberts,Hall,0,483,1957,698,1,3139,125,436,386,0,947,23,38,36,0,97,4183,
Morgan I,Hall,0,451,1574,358,0,2383,87,272,178,0,537,34,44,13,0,91,3011,
Morgan II,Hall,0,348,1588,446,2,2384,148,492,300,0,940,30,46,22,1,99,3423,
Candler,Hall,0,479,1702,470,0,2651,225,572,330,0,1127,41,50,25,0,116,3894,
Tadmore,Hall,0,394,1018,315,5,1732,389,809,437,0,1635,34,50,24,0,108,3475,
Glade,Hall,0,351,1183,304,0,1838,92,266,212,3,573,23,36,15,1,75,2486,
Lula,Hall,0,532,1203,260,7,2002,83,151,110,1,345,27,22,19,2,70,2417,
Clermont,Hall,0,420,1678,326,1,2425,28,141,80,0,249,12,35,11,0,58,2732,
Quillians,Hall,0,229,1419,276,1,1925,23,133,83,1,240,9,35,4,0,48,2213,
Bark Camp,Hall,0,456,2316,583,2,3357,95,383,281,0,759,22,54,33,1,110,4226,
Chestatee,Hall,0,458,1382,420,1,2261,91,231,231,1,554,30,34,21,0,85,2900,
Fork,Hall,0,511,1164,379,0,2054,77,226,200,2,505,14,29,11,0,54,2613,
Whelchel,Hall,0,348,1680,452,0,2480,90,296,260,0,646,34,56,14,0,104,3230,
West Whelchel,Hall,0,332,1432,659,1,2424,61,276,332,0,669,19,44,12,0,75,3168,
Gainesville I,Hall,0,333,934,429,4,1700,150,449,338,2,939,29,44,30,0,103,2742,
Gainesville II,Hall,0,60,122,85,0,267,290,563,480,1,1334,15,13,14,0,42,1643,
Gainesville III,Hall,0,291,638,241,1,1171,316,590,312,0,1218,27,51,21,2,101,2490,
Gainesville IV,Hall,0,175,575,221,0,971,115,360,235,0,710,22,22,6,0,50,1731,
Gainesville V,Hall,0,127,332,103,0,562,71,151,113,0,335,12,7,7,0,26,923,
Gillsville,Hall,0,309,353,75,1,738,39,57,38,0,134,5,10,2,1,18,890,
Big Hickory,Hall,0,376,1827,416,1,2620,35,177,147,0,359,11,27,14,0,52,3031,
Friendship I,Hall,0,516,3426,1201,3,5146,110,711,813,0,1634,28,84,39,0,151,6931,
Friendship II,Hall,0,394,1163,252,2,1811,72,314,163,0,549,20,41,12,0,73,2433,
Friendship III,Hall,0,313,1727,331,2,2373,117,471,270,0,858,28,51,22,0,101,3332,
Friendship IV,Hall,0,181,1539,258,4,1982,45,494,243,3,785,7,43,6,0,56,2823,
