Precinct,County,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
Wilson,Hall,0,317,1637,939,1,2894,142,398,548,1,1089,43,67,44,0,154,4137,
Chicopee,Hall,0,225,746,225,0,1196,157,452,248,2,859,43,63,24,0,130,2185,
Oakwood I,Hall,0,212,543,177,0,932,136,338,150,0,624,32,45,20,0,97,1653,
Oakwood II,Hall,0,393,1408,448,2,2251,85,323,215,0,623,26,60,43,0,129,3003,
Flowery Branch I,Hall,0,417,1483,467,0,2367,82,325,280,1,688,30,86,35,0,151,3206,
Flowery Branch II,Hall,0,381,1048,254,5,1688,93,294,229,0,616,32,67,27,0,126,2430,
Roberts,Hall,0,478,1917,708,1,3104,110,404,367,0,881,38,69,55,0,162,4147,
Morgan I,Hall,0,443,1556,379,0,2378,72,240,151,0,463,42,68,23,0,133,2974,
Morgan II,Hall,0,342,1564,445,0,2351,126,451,283,2,862,44,82,34,1,161,3374,
Candler,Hall,0,470,1669,478,0,2617,203,513,311,0,1027,56,98,37,0,191,3835,
Tadmore,Hall,0,371,1009,316,4,1700,350,770,428,1,1549,69,61,34,0,164,3413,
Glade,Hall,0,335,1177,308,0,1820,86,249,201,3,539,32,42,24,1,99,2458,
Lula,Hall,0,534,1193,274,9,2010,74,133,112,0,319,21,31,14,0,66,2395,
Clermont,Hall,0,416,1647,322,1,2386,20,130,73,0,223,17,50,14,0,81,2690,
Quillians,Hall,0,224,1391,284,1,1900,16,114,72,1,203,15,44,5,0,64,2167,
Bark Camp,Hall,0,451,2272,591,3,3317,73,357,265,0,695,36,89,34,1,160,4172,
Chestatee,Hall,0,441,1367,425,1,2234,82,198,224,1,505,44,55,26,0,125,2864,
Fork,Hall,0,489,1151,379,0,2019,72,204,182,2,460,27,41,26,0,94,2573,
Whelchel,Hall,0,345,1683,473,0,2501,74,258,229,0,561,37,72,27,0,136,3198,
West Whelchel,Hall,0,328,1437,674,1,2440,49,222,295,0,566,28,69,26,0,123,3129,
Gainesville I,Hall,0,335,921,431,3,1690,117,389,331,2,839,48,78,32,0,158,2687,
Gainesville II,Hall,0,59,113,76,0,248,263,527,490,1,1281,22,20,16,0,58,1587,
Gainesville III,Hall,0,276,626,244,1,1147,289,540,301,0,1130,60,78,29,2,169,2446,
Gainesville IV,Hall,0,175,564,223,0,962,103,307,220,0,630,29,58,12,0,99,1691,
Gainesville V,Hall,0,127,326,109,0,562,62,138,108,0,308,13,18,7,0,38,908,
Gillsville,Hall,0,304,342,74,0,720,32,51,39,0,122,9,20,1,1,31,873,
Big Hickory,Hall,0,369,1791,420,1,2581,30,150,132,0,312,11,54,23,0,88,2981,
Friendship I,Hall,0,504,3387,1219,3,5113,85,640,760,0,1485,52,139,63,0,254,6852,
Friendship II,Hall,0,375,1159,255,2,1791,68,274,158,0,500,33,63,17,0,113,2404,
Friendship III,Hall,0,321,1709,320,2,2352,96,428,272,0,796,33,85,28,0,146,3294,
Friendship IV,Hall,0,179,1516,269,3,1967,31,430,221,4,686,14,90,15,0,119,2772,
