Precinct,County,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
Wilson,Hall,0,338,1662,912,1,2913,170,463,653,1,1287,8,14,19,0,41,4241,
Chicopee,Hall,0,225,769,224,1,1219,199,507,280,1,987,12,18,11,0,41,2247,
Oakwood I,Hall,0,231,564,183,0,978,146,375,169,0,690,12,13,3,0,28,1696,
Oakwood II,Hall,0,409,1439,450,2,2300,94,377,249,0,720,9,16,17,0,42,3062,
Flowery Branch I,Hall,0,442,1518,464,0,2424,95,388,317,1,801,11,21,21,0,53,3278,
Flowery Branch II,Hall,0,393,1073,261,5,1732,111,332,250,0,693,18,24,9,0,51,2476,
Roberts,Hall,0,500,1948,705,1,3154,124,462,439,0,1025,13,24,20,0,57,4236,
Morgan I,Hall,0,462,1589,368,0,2419,91,295,186,0,572,19,18,8,0,45,3036,
Morgan II,Hall,0,364,1586,447,1,2398,147,520,336,2,1005,19,25,10,1,55,3458,
Candler,Hall,0,505,1708,482,0,2695,228,598,352,0,1178,18,28,11,0,57,3930,
Tadmore,Hall,0,424,1023,335,5,1787,387,839,462,0,1688,14,18,11,0,43,3518,
Glade,Hall,0,360,1195,315,0,1870,96,276,225,3,600,16,20,11,1,48,2518,
Lula,Hall,0,556,1226,275,10,2067,77,152,124,0,353,10,3,3,1,17,2437,
Clermont,Hall,0,421,1682,324,1,2428,28,158,95,0,281,11,22,5,0,38,2747,
Quillians,Hall,0,230,1420,273,1,1924,25,142,91,1,259,9,21,4,0,34,2217,
Bark Camp,Hall,0,464,2330,592,5,3391,89,396,314,0,799,17,37,14,0,68,4258,
Chestatee,Hall,0,464,1389,419,1,2273,97,237,263,1,598,17,19,12,0,48,2919,
Fork,Hall,0,516,1168,370,0,2054,81,240,226,2,549,10,11,7,0,28,2631,
Whelchel,Hall,0,369,1690,455,0,2514,96,315,279,0,690,8,25,5,0,38,3242,
West Whelchel,Hall,0,324,1423,621,1,2369,71,300,390,0,761,16,27,12,0,55,3185,
Gainesville I,Hall,0,326,930,432,3,1691,163,477,376,2,1018,19,22,12,0,53,2762,
Gainesville II,Hall,0,65,123,81,0,269,297,579,523,1,1400,6,5,6,0,17,1686,
Gainesville III,Hall,0,304,654,256,3,1217,323,603,338,0,1264,13,30,8,1,52,2533,
Gainesville IV,Hall,0,174,566,212,0,952,123,375,255,0,753,15,17,5,0,37,1742,
Gainesville V,Hall,0,126,319,102,0,547,80,156,126,0,362,8,11,5,0,24,933,
Gillsville,Hall,0,319,358,76,2,755,30,57,43,0,130,3,5,0,0,8,893,
Big Hickory,Hall,0,376,1818,407,1,2602,39,195,173,0,407,6,18,9,0,33,3042,
Friendship I,Hall,0,521,3388,1144,3,5056,113,790,931,0,1834,19,45,30,0,94,6984,
Friendship II,Hall,0,397,1171,255,2,1825,74,335,176,0,585,15,15,6,0,36,2446,
Friendship III,Hall,0,327,1742,319,2,2390,112,481,307,0,900,17,25,9,0,51,3341,
Friendship IV,Hall,0,179,1528,246,4,1957,41,531,267,3,842,14,14,2,0,30,2829,
