Precinct,County,Registered Voters,Larry Jones (I) (Dem)_Election Day Votes,Larry Jones (I) (Dem)_Advanced Voting Votes,Larry Jones (I) (Dem)_Absentee by Mail Votes,Larry Jones (I) (Dem)_Provisional Votes,Larry Jones (I) (Dem)_Choice Total,Total,
Richland,Stewart,1256,177,335,208,6,726,726,
Louvale,Stewart,286,86,49,46,1,182,182,
Lumpkin,Stewart,1134,106,425,139,3,673,673,
Omaha,Stewart,217,88,20,22,2,132,132,
