Precinct,County,Registered Voters,Arcola Scott (I) (Dem)_Election Day Votes,Arcola Scott (I) (Dem)_Advanced Voting Votes,Arcola Scott (I) (Dem)_Absentee by Mail Votes,Arcola Scott (I) (Dem)_Provisional Votes,Arcola Scott (I) (Dem)_Choice Total,Total,
Richland,Stewart,1256,6,24,21,1,52,52,
Lumpkin,Stewart,1134,30,151,67,2,250,250,
