Precinct,County,Registered Voters,Leanna Pledger (Rep)_Election Day Votes,Leanna Pledger (Rep)_Advanced Voting Votes,Leanna Pledger (Rep)_Absentee by Mail Votes,Leanna Pledger (Rep)_Provisional Votes,Leanna Pledger (Rep)_Choice Total,Total,
Quitman,Brooks,4117,291,832,323,1,1447,1447,
Barwick,Brooks,350,103,68,35,1,207,207,
Dixie,Brooks,1066,151,241,87,1,480,480,
Briggs,Brooks,2317,411,676,178,0,1265,1265,
Nankin,Brooks,735,167,208,46,0,421,421,
Morven,Brooks,1962,339,550,178,0,1067,1067,
Pavo,Brooks,607,167,119,61,0,347,347,
