Precinct,County,Registered Voters,John LaHood (I) (Rep)_Election Day Votes,John LaHood (I) (Rep)_Advanced Voting Votes,John LaHood (I) (Rep)_Absentee by Mail Votes,John LaHood (I) (Rep)_Provisional Votes,John LaHood (I) (Rep)_Choice Total,Total,
Quitman,Brooks,4117,291,850,291,1,1433,1433,
Barwick,Brooks,350,107,70,28,1,206,206,
Dixie,Brooks,1066,157,247,84,0,488,488,
Briggs,Brooks,2317,424,685,189,0,1298,1298,
Nankin,Brooks,735,174,219,49,0,442,442,
Morven,Brooks,1962,349,570,175,0,1094,1094,
Pavo,Brooks,607,168,120,56,0,344,344,
