Precinct,County,Registered Voters,"Wayne H. """"Chip"""" Carroll, Jr. (Rep)_Election Day Votes","Wayne H. """"Chip"""" Carroll, Jr. (Rep)_Advanced Voting Votes","Wayne H. """"Chip"""" Carroll, Jr. (Rep)_Absentee by Mail Votes","Wayne H. """"Chip"""" Carroll, Jr. (Rep)_Provisional Votes","Wayne H. """"Chip"""" Carroll, Jr. (Rep)_Choice Total",Total,
Quitman,Brooks,4117,72,192,45,0,309,309,
Barwick,Brooks,350,75,50,26,0,151,151,
Morven,Brooks,1962,153,255,82,0,490,490,
Pavo,Brooks,607,169,118,63,0,350,350,
