Precinct,County,Registered Voters,Ben Watson (I) (Rep)_Election Day Votes,Ben Watson (I) (Rep)_Advanced Voting Votes,Ben Watson (I) (Rep)_Absentee by Mail Votes,Ben Watson (I) (Rep)_Provisional Votes,Ben Watson (I) (Rep)_Choice Total,Total,
1-10C St Thomas Episcopal Church1101,Chatham,360,235,204,2,801,801,,
1-12C Isle of Hope Baptist,Chatham,1909,563,459,355,1,1378,1378,
1-13C The Sanctuary,Chatham,1396,296,312,169,1,778,778,
1-14C Compassion Christian Church1718,Chatham,282,424,310,1,1017,1017,,
1-16C Ferguson Ave Baptist,Chatham,2905,648,747,384,5,1784,1784,
1-17C Islands Christian Church3136,Chatham,510,933,617,1,2061,2061,,
3-12C Thunderbolt Muni Complex1678,Chatham,286,224,146,0,656,656,,
4-02C Frank Murray Comm Center2472,Chatham,380,625,300,0,1305,1305,,
4-04C Lighthouse Baptist Church2470,Chatham,515,619,359,4,1497,1497,,
4-05C St Francis Episcopal Church2244,Chatham,539,564,310,1,1414,1414,,
4-06C First Baptist of the Island2252,Chatham,515,636,331,3,1485,1485,,
4-07C Wilmington Island UMC,Chatham,3370,598,872,505,4,1979,1979,
4-08C Wilmington Island Pres Church2678,Chatham,580,772,473,1,1826,1826,,
4-10C Guard House Comm Ctr,Chatham,1469,419,273,182,2,876,876,
4-11C Tybee Island School Cafe1640,Chatham,535,211,196,1,943,943,,
4-12C St Peters Episcopal,Chatham,2294,629,518,499,3,1649,1649,
4-13C Skidaway Island Pres Church2469,Chatham,526,585,641,2,1754,1754,,
4-14C Skidaway Island Baptist 1744,Chatham,386,366,423,3,1178,1178,,
4-15C Skidaway Island State Park0,Chatham,321,388,549,4,1262,1262,,
6-02C Windsor Forest Baptist,Chatham,2290,477,540,351,0,1368,1368,
6-10C Station 3,Chatham,4184,545,988,561,3,2097,2097,
6-11C Bamboo Farms,Chatham,5149,578,899,449,6,1932,1932,
7-06C Pooler City Hall,Chatham,3555,350,840,333,0,1523,1523,
7-07C Rothwell Baptist Church 3932,Chatham,341,1132,566,3,2042,2042,,
7-08C Bloomingdale Comm Ctr,Chatham,2733,550,695,261,0,1506,1506,
7-09C Savannah Holy C of G,Chatham,2823,359,485,299,2,1145,1145,
7-12C Pooler Church,Chatham,3334,289,871,433,4,1597,1597,
7-13C Southside Fire Trng Ctr 2513,Chatham,268,812,513,1,1594,1594,,
7-16C Pooler Recreation Center Gymnasium3701,Chatham,306,1116,601,10,2033,2033,,
8-16C Royal Cinemas and IMAX,Chatham,3087,297,831,462,0,1590,1590,
