Precinct,County,Registered Voters,Dean Kicklighter (I) (Rep)_Election Day Votes,Dean Kicklighter (I) (Rep)_Advanced Voting Votes,Dean Kicklighter (I) (Rep)_Absentee by Mail Votes,Dean Kicklighter (I) (Rep)_Provisional Votes,Dean Kicklighter (I) (Rep)_Choice Total,Orlando Scott (Dem)_Election Day Votes,Orlando Scott (Dem)_Advanced Voting Votes,Orlando Scott (Dem)_Absentee by Mail Votes,Orlando Scott (Dem)_Provisional Votes,Orlando Scott (Dem)_Choice Total,Total,
7-05C Woodlawn Baptist Church 1305,Chatham,124,126,38,0,288,46,78,41,0,165,453,,
7-06C Pooler City Hall,Chatham,3555,256,618,213,0,1087,178,497,355,1,1031,2118,
7-07C Rothwell Baptist Church 3932,Chatham,281,966,423,3,1673,126,417,369,2,914,2587,,
7-08C Bloomingdale Comm Ctr,Chatham,2733,523,656,228,0,1407,78,119,121,1,319,1726,
7-12C Pooler Church,Chatham,3334,196,576,240,4,1016,160,660,454,0,1274,2290,
7-13C Southside Fire Trng Ctr 2513,Chatham,237,736,416,1,1390,63,255,334,0,652,2042,,
7-14C Coastal Cathedral,Chatham,7572,421,834,525,1,1781,553,1477,1132,5,3167,4948,
7-16C Pooler Recreation Center Gymnasium3701,Chatham,232,869,428,7,1536,118,550,432,6,1106,2642,,
