Precinct,County,Registered Voters,Charles M. Pugh (Rep)_Election Day Votes,Charles M. Pugh (Rep)_Advanced Voting Votes,Charles M. Pugh (Rep)_Absentee by Mail Votes,Charles M. Pugh (Rep)_Provisional Votes,Charles M. Pugh (Rep)_Choice Total,David Campbell (Dem)_Election Day Votes,David Campbell (Dem)_Advanced Voting Votes,David Campbell (Dem)_Absentee by Mail Votes,David Campbell (Dem)_Provisional Votes,David Campbell (Dem)_Choice Total,Total,
1-01C First Presbyterian Church3187,Chatham,367,489,439,0,1295,161,566,464,0,1191,2486,,
1-05C JEA Building,Chatham,2106,229,313,233,2,777,140,328,283,0,751,1528,
1-06C Central Church of Christ2035,Chatham,360,342,317,2,1021,95,206,204,0,505,1526,,
1-08C Grace United Methodist Church1667,Chatham,302,233,173,0,708,108,210,160,1,479,1187,,
1-09C Immanuel Baptist Church 739,Chatham,86,59,40,1,186,66,92,90,2,250,436,,
1-10C St Thomas Episcopal Church1101,Chatham,342,190,184,2,718,48,81,74,0,203,921,,
1-12C Isle of Hope Baptist,Chatham,1909,533,411,319,1,1264,63,132,136,0,331,1595,
1-13C The Sanctuary,Chatham,1396,251,242,117,1,611,84,135,161,0,380,991,
1-14C Compassion Christian Church1718,Chatham,242,365,225,1,833,73,162,181,0,416,1249,,
1-16C Ferguson Ave Baptist,Chatham,2905,600,676,318,4,1598,126,177,171,1,475,2073,
1-17C Islands Christian Church3136,Chatham,474,860,495,0,1829,88,200,354,1,643,2472,,
2-02C Blackshear Community Center1714,Chatham,53,93,64,1,211,206,235,197,8,646,857,,
2-03C W W Law Center,Chatham,1609,57,71,34,1,163,187,225,226,1,639,802,
2-04C Fellowship of Love Church3178,Chatham,71,66,52,0,189,415,582,573,1,1571,1760,,
2-05C Holy Spirit Lutheran Church2079,Chatham,56,80,47,1,184,273,462,326,3,1064,1248,,
2-06C Eli Whitney Complex,Chatham,759,31,37,8,0,76,116,104,87,3,310,386,
2-07C Christ Community Church 2808,Chatham,109,104,75,0,288,315,540,399,2,1256,1544,,
2-09C Salvation Army,Chatham,3342,114,136,90,0,340,369,676,583,3,1631,1971,
2-11C Stillwell Towers,Chatham,1900,61,76,42,0,179,296,244,247,3,790,969,
2-12C Williams Court Apts,Chatham,1683,63,73,34,0,170,173,314,271,4,762,932,
3-01C Old Courthouse,Chatham,458,47,54,57,0,158,24,57,52,1,134,292,
3-02C Temple Mickve Israel,Chatham,1598,142,236,157,1,536,60,245,229,1,535,1071,
3-03C Savannah High School,Chatham,1185,23,32,19,0,74,187,204,131,5,527,601,
3-04C First African Baptist Church1558,Chatham,37,16,18,0,71,311,242,233,0,786,857,,
3-05C Aldersgate Youth Center 2107,Chatham,119,138,69,0,326,264,312,267,2,845,1171,,
3-08C Jenkins High School,Chatham,1210,88,101,55,0,244,123,227,176,0,526,770,
3-09C Cokesbury Methodist,Chatham,664,167,85,63,1,316,61,62,72,1,196,512,
3-10C Bible Baptist Church,Chatham,2640,102,86,68,1,257,390,504,430,1,1325,1582,
3-11C Southside Baptist Church1481,Chatham,56,66,50,1,173,240,264,194,2,700,873,,
3-12C Thunderbolt Muni Complex1678,Chatham,258,199,95,0,552,178,186,225,1,590,1142,,
3-13C New Cov 7 Day Adv Ch,Chatham,2303,168,251,152,0,571,202,348,225,1,776,1347,
3-14C Oglethorpe Charter Academy2381,Chatham,95,185,128,0,408,240,448,412,1,1101,1509,,
3-15C Eli Whitney Complex,Chatham,816,65,135,121,0,321,61,120,134,0,315,636,
4-02C Frank Murray Comm Center2472,Chatham,334,534,206,0,1074,101,228,247,0,576,1650,,
4-04C Lighthouse Baptist Church2470,Chatham,485,533,286,3,1307,84,177,234,1,496,1803,,
4-05C St Francis Episcopal Church2244,Chatham,485,486,245,1,1217,112,174,203,0,489,1706,,
4-06C First Baptist of the Island2252,Chatham,481,580,258,3,1322,90,145,206,0,441,1763,,
4-07C Wilmington Island UMC,Chatham,3370,543,773,399,4,1719,127,240,336,0,703,2422,
4-08C Wilmington Island Pres Church2678,Chatham,542,704,411,1,1658,93,165,241,1,500,2158,,
4-10C Guard House Comm Ctr,Chatham,1469,367,216,151,1,735,115,128,130,1,374,1109,
4-11C Tybee Island School Cafe1640,Chatham,500,180,166,1,847,145,100,133,0,378,1225,,
4-12C St Peters Episcopal,Chatham,2294,591,480,437,3,1511,75,118,229,0,422,1933,
4-13C Skidaway Island Pres Church2469,Chatham,513,522,550,2,1587,53,152,264,0,469,2056,,
4-14C Skidaway Island Baptist 1744,Chatham,378,344,348,2,1072,37,105,245,0,387,1459,,
4-15C Skidaway Island State Park0,Chatham,310,346,476,4,1136,31,113,251,0,395,1531,,
5-01C Bartlett Middle School,Chatham,1063,64,54,36,0,154,147,175,129,0,451,605,
5-02C Senior Citizens Center,Chatham,783,26,15,15,0,56,108,113,118,1,340,396,
