Precinct,County,Registered Voters,"Lester G. Jackson, III (I) (Dem)_Election Day Votes","Lester G. Jackson, III (I) (Dem)_Advanced Voting Votes","Lester G. Jackson, III (I) (Dem)_Absentee by Mail Votes","Lester G. Jackson, III (I) (Dem)_Provisional Votes","Lester G. Jackson, III (I) (Dem)_Choice Total",Total,
1-01C First Presbyterian Church3187,Chatham,356,844,760,0,1960,1960,,
1-05C JEA Building,Chatham,2106,259,501,438,1,1199,1199,
1-06C Central Church of Christ2035,Chatham,274,368,396,3,1041,1041,,
1-08C Grace United Methodist Church1667,Chatham,245,315,260,1,821,821,,
1-09C Immanuel Baptist Church 739,Chatham,102,117,107,3,329,329,,
2-02C Blackshear Community Center1714,Chatham,231,282,235,8,756,756,,
2-03C W W Law Center,Chatham,1609,223,264,247,2,736,736,
2-04C Fellowship of Love Church3178,Chatham,453,601,595,1,1650,1650,,
2-05C Holy Spirit Lutheran Church2079,Chatham,297,491,361,3,1152,1152,,
2-06C Eli Whitney Complex,Chatham,759,126,128,97,1,352,352,
2-07C Christ Community Church 2808,Chatham,387,585,445,3,1420,1420,,
2-09C Salvation Army,Chatham,3342,411,740,635,1,1787,1787,
2-11C Stillwell Towers,Chatham,1900,318,276,271,3,868,868,
2-12C Williams Court Apts,Chatham,1683,203,346,295,4,848,848,
3-01C Old Courthouse,Chatham,458,51,87,84,1,223,223,
3-02C Temple Mickve Israel,Chatham,1598,143,376,331,1,851,851,
3-03C Savannah High School,Chatham,1185,201,204,141,4,550,550,
3-04C First African Baptist Church1558,Chatham,322,240,239,0,801,801,,
3-05C Aldersgate Youth Center 2107,Chatham,309,368,311,2,990,990,,
3-08C Jenkins High School,Chatham,1210,165,269,202,0,636,636,
3-09C Cokesbury Methodist,Chatham,664,137,101,102,0,340,340,
3-10C Bible Baptist Church,Chatham,2640,427,530,466,2,1425,1425,
3-11C Southside Baptist Church1481,Chatham,262,284,220,2,768,768,,
3-12C Thunderbolt Muni Complex1678,Chatham,78,79,101,0,258,258,,
3-13C New Cov 7 Day Adv Ch,Chatham,2303,276,450,291,2,1019,1019,
3-14C Oglethorpe Charter Academy2381,Chatham,291,545,490,0,1326,1326,,
3-15C Eli Whitney Complex,Chatham,816,97,190,199,0,486,486,
5-01C Bartlett Middle School,Chatham,1063,175,199,149,0,523,523,
5-02C Senior Citizens Center,Chatham,783,120,120,122,1,363,363,
5-03C Butler Presbyterian Church1078,Chatham,190,160,183,4,537,537,,
5-05C Liberty City Comm Ctr,Chatham,2574,426,554,571,3,1554,1554,
5-06C Seed Church,Chatham,2598,298,453,358,6,1115,1115,
5-07C Station 1,Chatham,1856,272,370,268,6,916,916,
5-08C Savannah Primitive BC,Chatham,1848,227,387,318,3,935,935,
5-10C Tatumville Community Center3507,Chatham,542,673,675,3,1893,1893,,
5-11C Largo-Tibet Elementary,Chatham,3019,358,659,445,6,1468,1468,
6-01C White Bluff Presbyterian1919,Chatham,256,404,269,3,932,932,,
6-03C Crusader Comm Center,Chatham,2736,383,624,497,1,1505,1505,
6-05C Windsor Hall,Chatham,1993,276,401,295,0,972,972,
6-06C The Light Church,Chatham,1543,195,259,189,0,643,643,
6-08C Christ Memorial Baptist Church2194,Chatham,279,453,306,2,1040,1040,,
6-09C Trinity Lutheran Church 3319,Chatham,429,709,499,6,1643,1643,,
7-01C Garden City Senior Ctr,Chatham,1542,210,216,194,0,620,620,
7-03C PB Edwards Gym,Chatham,1290,268,119,118,0,505,505,
7-04C Lake Shore Comm Ctr,Chatham,3067,514,796,386,1,1697,1697,
7-05C Woodlawn Baptist Church 1305,Chatham,217,229,133,0,579,579,,
7-10C Progressive Rec Center,Chatham,4288,479,975,598,6,2058,2058,
7-11C Seventh Day Adv Church,Chatham,6469,712,1542,941,12,3207,3207,
7-14C Coastal Cathedral,Chatham,7572,756,1849,1376,8,3989,3989,
7-15C Rice Creek School,Chatham,2564,408,525,287,2,1222,1222,
8-01C Civic Center,Chatham,850,69,114,97,3,283,283,
8-02C Hellenic Center,Chatham,1709,225,381,246,1,853,853,
8-03C Silk Hope Baptist Church831,Chatham,129,76,80,0,285,285,,
8-05C W Broad St YMCA,Chatham,1543,270,210,164,1,645,645,
8-06C Tompkins Rec Center,Chatham,1055,191,151,159,2,503,503,
8-07C Woodville-Tompkins TI,Chatham,630,129,99,86,1,315,315,
8-08C Resur of Our Lord Church1704,Chatham,310,255,272,3,840,840,,
8-09C Moses Jackson Center,Chatham,1362,260,193,201,7,661,661,
8-10C Carver Heights Comm Ctr 1784,Chatham,341,263,347,0,951,951,,
8-11C Butler Elementary,Chatham,1386,252,309,355,0,916,916,
8-12C Beach High School,Chatham,1310,191,235,153,0,579,579,
8-13C Savannah Christian,Chatham,1022,90,86,61,2,239,239,
8-15C Garden City Rec Center,Chatham,1622,209,296,250,1,756,756,
