Precinct,County,Registered Voters,Joshua D. Hendrix (I) (Rep)_Election Day Votes,Joshua D. Hendrix (I) (Rep)_Advanced Voting Votes,Joshua D. Hendrix (I) (Rep)_Absentee by Mail Votes,Joshua D. Hendrix (I) (Rep)_Provisional Votes,Joshua D. Hendrix (I) (Rep)_Choice Total,Total,
Tifton Northeast,Tift,3332,291,1189,299,13,1792,1792,
Brighton,Tift,2219,354,1090,188,0,1632,1632,
Brookfield,Tift,1501,330,558,84,0,972,972,
Chula,Tift,1314,319,532,133,1,985,985,
Docia,Tift,1056,245,454,102,1,802,802,
Eldorado,Tift,1262,300,450,81,2,833,833,
Omega,Tift,864,284,162,40,1,487,487,
Ty Ty,Tift,1221,286,381,86,1,754,754,
Tifton Northwest,Tift,3334,345,1403,288,0,2036,2036,
Tifton South,Tift,2366,161,467,143,1,772,772,
Mott-Litman Gym,Tift,2889,184,484,170,1,839,839,
Tifton Lodge,Tift,3091,252,1183,289,0,1724,1724,
