Precinct,County,Registered Voters,Bryce A. Johnson (Rep)_Election Day Votes,Bryce A. Johnson (Rep)_Advanced Voting Votes,Bryce A. Johnson (Rep)_Absentee by Mail Votes,Bryce A. Johnson (Rep)_Provisional Votes,Bryce A. Johnson (Rep)_Choice Total,Total,
Tifton Northeast,Tift,3332,292,1176,302,11,1781,1781,
Brighton,Tift,2219,358,1087,188,0,1633,1633,
Brookfield,Tift,1501,331,556,80,0,967,967,
Chula,Tift,1314,317,526,132,1,976,976,
Docia,Tift,1056,241,451,99,1,792,792,
Eldorado,Tift,1262,301,444,79,2,826,826,
Omega,Tift,864,284,162,40,1,487,487,
Ty Ty,Tift,1221,284,370,87,1,742,742,
Tifton Northwest,Tift,3334,350,1395,294,0,2039,2039,
Tifton South,Tift,2366,157,458,137,1,753,753,
Mott-Litman Gym,Tift,2889,183,478,156,1,818,818,
Tifton Lodge,Tift,3091,252,1186,281,0,1719,1719,
