Precinct,County,Registered Voters,Renda Dunn Baggett (I) (Rep)_Election Day Votes,Renda Dunn Baggett (I) (Rep)_Advanced Voting Votes,Renda Dunn Baggett (I) (Rep)_Absentee by Mail Votes,Renda Dunn Baggett (I) (Rep)_Provisional Votes,Renda Dunn Baggett (I) (Rep)_Choice Total,Total,
McDonald,Murray,2524,342,957,168,0,1467,1467,
Shuck Pen,Murray,2940,651,931,166,0,1748,1748,
Southwest,Murray,3215,677,821,212,0,1710,1710,
Spring Place,Murray,3671,541,1386,245,0,2172,2172,
Town,Murray,5766,691,2344,479,0,3514,3514,
Carters-Doolittle,Murray,2045,444,596,137,0,1177,1177,
North,Murray,2123,536,666,142,0,1344,1344,
