Precinct,County,Registered Voters,Aaron David Phillips (I) (Rep)_Election Day Votes,Aaron David Phillips (I) (Rep)_Advanced Voting Votes,Aaron David Phillips (I) (Rep)_Absentee by Mail Votes,Aaron David Phillips (I) (Rep)_Provisional Votes,Aaron David Phillips (I) (Rep)_Choice Total,Total,
McDonald,Murray,2524,343,947,165,0,1455,1455,
Shuck Pen,Murray,2940,645,932,164,0,1741,1741,
Southwest,Murray,3215,678,808,205,0,1691,1691,
Spring Place,Murray,3671,537,1371,241,0,2149,2149,
Town,Murray,5766,693,2342,467,0,3502,3502,
Carters-Doolittle,Murray,2045,439,592,129,0,1160,1160,
North,Murray,2123,537,663,145,0,1345,1345,
