Precinct,County,Registered Voters,Greg Hogan (I) (Rep)_Election Day Votes,Greg Hogan (I) (Rep)_Advanced Voting Votes,Greg Hogan (I) (Rep)_Absentee by Mail Votes,Greg Hogan (I) (Rep)_Provisional Votes,Greg Hogan (I) (Rep)_Choice Total,Total,
McDonald,Murray,2524,343,960,163,0,1466,1466,
Shuck Pen,Murray,2940,647,939,166,0,1752,1752,
Southwest,Murray,3215,677,809,217,0,1703,1703,
Spring Place,Murray,3671,540,1379,248,0,2167,2167,
Town,Murray,5766,688,2325,482,0,3495,3495,
Carters-Doolittle,Murray,2045,453,602,135,0,1190,1190,
North,Murray,2123,536,666,139,0,1341,1341,
