Precinct,County,Registered Voters,Greg Shoemaker (I) (Rep)_Election Day Votes,Greg Shoemaker (I) (Rep)_Advanced Voting Votes,Greg Shoemaker (I) (Rep)_Absentee by Mail Votes,Greg Shoemaker (I) (Rep)_Provisional Votes,Greg Shoemaker (I) (Rep)_Choice Total,Total,
McDonald,Murray,2524,344,971,166,0,1481,1481,
Shuck Pen,Murray,2940,649,942,167,0,1758,1758,
Southwest,Murray,3215,686,822,207,0,1715,1715,
Spring Place,Murray,3671,540,1391,239,0,2170,2170,
Town,Murray,5766,695,2370,467,0,3532,3532,
Carters-Doolittle,Murray,2045,449,600,132,0,1181,1181,
North,Murray,2123,544,679,144,0,1367,1367,
