Precinct,County,Registered Voters,Chuck Payne (I) (Rep)_Election Day Votes,Chuck Payne (I) (Rep)_Advanced Voting Votes,Chuck Payne (I) (Rep)_Absentee by Mail Votes,Chuck Payne (I) (Rep)_Provisional Votes,Chuck Payne (I) (Rep)_Choice Total,Total,
McDonald,Murray,2524,343,975,168,0,1486,1486,
Shuck Pen,Murray,2940,659,942,167,0,1768,1768,
Southwest,Murray,3215,687,851,213,0,1751,1751,
Spring Place,Murray,3671,552,1393,247,0,2192,2192,
Town,Murray,5766,698,2399,484,0,3581,3581,
Carters-Doolittle,Murray,2045,448,596,131,0,1175,1175,
North,Murray,2123,545,681,150,0,1376,1376,
