Precinct,County,Registered Voters,Kimberly H. Pierce (I) (Rep)_Election Day Votes,Kimberly H. Pierce (I) (Rep)_Advanced Voting Votes,Kimberly H. Pierce (I) (Rep)_Absentee by Mail Votes,Kimberly H. Pierce (I) (Rep)_Provisional Votes,Kimberly H. Pierce (I) (Rep)_Choice Total,Total,
Hartwell,Hart,6451,268,1131,350,1,1750,1750,
Bowersville,Hart,1395,110,169,24,0,303,303,
