Precinct,County,Registered Voters,Parks White (I) (Rep)_Election Day Votes,Parks White (I) (Rep)_Advanced Voting Votes,Parks White (I) (Rep)_Absentee by Mail Votes,Parks White (I) (Rep)_Provisional Votes,Parks White (I) (Rep)_Choice Total,Total,
Hartwell,Hart,6451,574,2479,792,2,3847,3847,
Goldmine,Hart,1901,378,641,206,0,1225,1225,
Cokesbury,Hart,1162,188,334,107,0,629,629,
Reed Creek,Hart,2990,472,1222,367,1,2062,2062,
Bowersville,Hart,1395,344,448,85,0,877,877,
Shoal Creek,Hart,1656,368,563,205,0,1136,1136,
Bio,Hart,1374,255,502,126,0,883,883,
