Precinct,County,Registered Voters,Mike Adams (I) (Rep)_Election Day Votes,Mike Adams (I) (Rep)_Advanced Voting Votes,Mike Adams (I) (Rep)_Absentee by Mail Votes,Mike Adams (I) (Rep)_Provisional Votes,Mike Adams (I) (Rep)_Choice Total,Total,
Hartwell,Hart,6451,603,2608,853,2,4066,4066,
Goldmine,Hart,1901,387,666,213,0,1266,1266,
Cokesbury,Hart,1162,202,354,128,0,684,684,
Reed Creek,Hart,2990,489,1261,394,1,2145,2145,
Bowersville,Hart,1395,356,464,89,0,909,909,
Shoal Creek,Hart,1656,373,580,208,0,1161,1161,
Bio,Hart,1374,270,540,134,0,944,944,
