Precinct,County,Registered Voters,Joey Dorsey (I) (Rep)_Election Day Votes,Joey Dorsey (I) (Rep)_Advanced Voting Votes,Joey Dorsey (I) (Rep)_Absentee by Mail Votes,Joey Dorsey (I) (Rep)_Provisional Votes,Joey Dorsey (I) (Rep)_Choice Total,Total,
Goldmine,Hart,1901,382,651,209,0,1242,1242,
Bowersville,Hart,1395,58,92,15,0,165,165,
Bio,Hart,1374,241,458,110,0,809,809,
