Precinct,County,Registered Voters,John D. Gass (I) (Rep)_Election Day Votes,John D. Gass (I) (Rep)_Advanced Voting Votes,John D. Gass (I) (Rep)_Absentee by Mail Votes,John D. Gass (I) (Rep)_Provisional Votes,John D. Gass (I) (Rep)_Choice Total,Total,
Blackstock,Catoosa,1952,400,631,127,1,1159,1159,
Boynton,Catoosa,6027,762,2709,490,3,3964,3964,
Catoosa Keith,Catoosa,2611,521,928,196,0,1645,1645,
Chambers,Catoosa,2552,355,1175,222,2,1754,1754,
Ft Oglethorpe,Catoosa,4054,429,1470,385,1,2285,2285,
Graysville,Catoosa,4501,627,1765,326,3,2721,2721,
Lakeview,Catoosa,3572,393,1225,264,3,1885,1885,
Poplar Springs,Catoosa,4191,518,1828,335,1,2682,2682,
Ringgold,Catoosa,7414,662,3365,696,3,4726,4726,
Westside,Catoosa,5895,466,2384,511,2,3363,3363,
Woodstation,Catoosa,2946,573,1235,209,2,2019,2019,
