Precinct,County,Registered Voters,Gary R. Sisk (I) (Rep)_Election Day Votes,Gary R. Sisk (I) (Rep)_Advanced Voting Votes,Gary R. Sisk (I) (Rep)_Absentee by Mail Votes,Gary R. Sisk (I) (Rep)_Provisional Votes,Gary R. Sisk (I) (Rep)_Choice Total,Total,
Blackstock,Catoosa,1952,396,624,130,1,1151,1151,
Boynton,Catoosa,6027,767,2741,520,3,4031,4031,
Catoosa Keith,Catoosa,2611,520,933,219,0,1672,1672,
Chambers,Catoosa,2552,364,1187,234,3,1788,1788,
Ft Oglethorpe,Catoosa,4054,437,1504,412,1,2354,2354,
Graysville,Catoosa,4501,625,1776,341,3,2745,2745,
Lakeview,Catoosa,3572,399,1223,275,3,1900,1900,
Poplar Springs,Catoosa,4191,516,1850,355,1,2722,2722,
Ringgold,Catoosa,7414,664,3377,716,3,4760,4760,
Westside,Catoosa,5895,464,2402,537,2,3405,3405,
Woodstation,Catoosa,2946,578,1249,222,3,2052,2052,
