Precinct,County,Registered Voters,Pam Stephenson (I) (Dem)_Election Day Votes,Pam Stephenson (I) (Dem)_Advanced Voting Votes,Pam Stephenson (I) (Dem)_Absentee by Mail Votes,Pam Stephenson (I) (Dem)_Provisional Votes,Pam Stephenson (I) (Dem)_Choice Total,Total,
Stockbridge East-West,Henry,6541,103,330,139,1,573,573,
Cotton Indian,Henry,4785,290,1648,538,0,2476,2476,
Pleasant Grove,Henry,4135,190,1390,544,3,2127,2127,
Austin Road,Henry,3374,171,1368,472,2,2013,2013,
Swan Lake,Henry,3642,89,431,161,0,681,681,
