Precinct,County,Registered Voters,Michael C. Harris (I) (Dem)_Election Day Votes,Michael C. Harris (I) (Dem)_Advanced Voting Votes,Michael C. Harris (I) (Dem)_Absentee by Mail Votes,Michael C. Harris (I) (Dem)_Provisional Votes,Michael C. Harris (I) (Dem)_Choice Total,Total,
Locust Grove,Henry,6978,499,2585,1023,3,4110,4110,
Tussahaw,Henry,3409,354,859,264,0,1477,1477,
Sandy Ridge,Henry,4875,518,1483,402,4,2407,2407,
Westside,Henry,6971,622,1807,1019,7,3455,3455,
Lowes,Henry,9878,722,3324,1605,6,5657,5657,
South Hampton,Henry,5476,402,1914,672,2,2990,2990,
North Hampton,Henry,7156,481,2505,990,2,3978,3978,
Mt Carmel,Henry,5335,354,2212,953,1,3520,3520,
Red Oak,Henry,5610,394,2373,923,1,3691,3691,
Wesley Lakes,Henry,6144,485,2322,931,4,3742,3742,
McDonough,Henry,2838,229,985,466,6,1686,1686,
McMullen,Henry,3719,389,1174,397,0,1960,1960,
East Lake,Henry,3389,241,1132,433,0,1806,1806,
Hickory Flat,Henry,5122,373,1956,813,1,3143,3143,
Stockbridge East-West,Henry,6541,443,2333,1177,5,3958,3958,
Stagecoach,Henry,3546,259,1165,448,1,1873,1873,
Cotton Indian,Henry,4785,293,1701,542,4,2540,2540,
Pleasant Grove,Henry,4135,197,1450,552,5,2204,2204,
Austin Road,Henry,3374,174,1381,472,2,2029,2029,
Swan Lake,Henry,3642,243,1091,421,1,1756,1756,
Shakerag,Henry,4047,261,1730,700,2,2693,2693,
Ellenwood,Henry,4275,201,1849,803,1,2854,2854,
Unity Grove,Henry,4850,324,1466,483,2,2275,2275,
Shiloh,Henry,4077,380,1308,560,8,2256,2256,
Pates Creek,Henry,5214,258,1632,885,6,2781,2781,
Oakland,Henry,4508,330,1497,687,1,2515,2515,
Lake Dow,Henry,5049,377,1676,687,1,2741,2741,
Flippen,Henry,4430,252,1719,862,0,2833,2833,
Stockbridge Central,Henry,4416,322,1428,579,2,2331,2331,
Kelleytown,Henry,3452,314,1268,428,0,2010,2010,
Lighthouse,Henry,3693,237,1354,531,0,2122,2122,
Dutchtown,Henry,2751,196,828,419,2,1445,1445,
Mt Bethel,Henry,3535,509,961,310,1,1781,1781,
Grove Park,Henry,4079,338,1223,422,2,1985,1985,
Lake Haven,Henry,4260,336,1467,529,1,2333,2333,
McDonough Central,Henry,4250,266,1467,657,0,2390,2390,
Timberridge,Henry,2096,214,729,255,1,1199,1199,
