Precinct,County,Registered Voters,Darius Pattillo (I) (Dem)_Election Day Votes,Darius Pattillo (I) (Dem)_Advanced Voting Votes,Darius Pattillo (I) (Dem)_Absentee by Mail Votes,Darius Pattillo (I) (Dem)_Provisional Votes,Darius Pattillo (I) (Dem)_Choice Total,Total,
Locust Grove,Henry,6978,493,2561,1003,2,4059,4059,
Tussahaw,Henry,3409,339,804,258,0,1401,1401,
Sandy Ridge,Henry,4875,495,1438,387,4,2324,2324,
Westside,Henry,6971,607,1796,997,7,3407,3407,
Lowes,Henry,9878,705,3272,1572,7,5556,5556,
South Hampton,Henry,5476,396,1885,646,2,2929,2929,
North Hampton,Henry,7156,466,2471,948,2,3887,3887,
Mt Carmel,Henry,5335,348,2180,953,1,3482,3482,
Red Oak,Henry,5610,390,2349,912,1,3652,3652,
Wesley Lakes,Henry,6144,482,2290,907,3,3682,3682,
McDonough,Henry,2838,224,967,456,5,1652,1652,
McMullen,Henry,3719,374,1129,381,0,1884,1884,
East Lake,Henry,3389,234,1091,407,0,1732,1732,
Hickory Flat,Henry,5122,371,1926,798,1,3096,3096,
Stockbridge East-West,Henry,6541,433,2316,1155,4,3908,3908,
Stagecoach,Henry,3546,259,1127,435,1,1822,1822,
Cotton Indian,Henry,4785,289,1659,531,4,2483,2483,
Pleasant Grove,Henry,4135,191,1387,540,5,2123,2123,
Austin Road,Henry,3374,172,1366,464,2,2004,2004,
Swan Lake,Henry,3642,245,1067,401,1,1714,1714,
Shakerag,Henry,4047,259,1727,689,2,2677,2677,
Ellenwood,Henry,4275,201,1831,788,1,2821,2821,
Unity Grove,Henry,4850,316,1396,457,2,2171,2171,
Shiloh,Henry,4077,378,1287,539,6,2210,2210,
Pates Creek,Henry,5214,251,1597,869,6,2723,2723,
Oakland,Henry,4508,323,1435,654,1,2413,2413,
Lake Dow,Henry,5049,365,1621,674,1,2661,2661,
Flippen,Henry,4430,245,1680,848,0,2773,2773,
Stockbridge Central,Henry,4416,315,1401,572,2,2290,2290,
Kelleytown,Henry,3452,314,1239,410,0,1963,1963,
Lighthouse,Henry,3693,233,1327,525,0,2085,2085,
Dutchtown,Henry,2751,194,794,411,2,1401,1401,
Mt Bethel,Henry,3535,495,942,302,1,1740,1740,
Grove Park,Henry,4079,329,1197,409,2,1937,1937,
Lake Haven,Henry,4260,325,1432,515,0,2272,2272,
McDonough Central,Henry,4250,266,1412,623,0,2301,2301,
Timberridge,Henry,2096,208,709,246,1,1164,1164,
