




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Blackrock                     2699                          2111                          78.21%
Brooks                        2567                          2159                          84.11%
Europe                        3310                          2572                          77.70%
Fayetteville East             2147                          1516                          70.61%
Fayetteville West             2362                          1748                          74.01%
Flint                         1732                          1331                          76.85%
Hopeful                       2309                          1727                          74.79%
Morning Creek                 3059                          2378                          77.74%
Rareover                      3045                          2423                          79.57%
Sandy Creek                   4848                          3657                          75.43%
Shakerag East                 1689                          1273                          75.37%
Shakerag West                 1236                          1081                          87.46%
Starrsmill                    3572                          2586                          72.40%
Whitewater                    3564                          2951                          82.80%
Woolsey                       2542                          2092                          82.30%
McIntosh                      3323                          2664                          80.17%
Oak Grove                     1344                          1072                          79.76%
Kedron                        4862                          3803                          78.22%
Aberdeen                      1805                          1401                          77.62%
Windgate                      1011                          816                           80.71%
Flat Creek                    2117                          1544                          72.93%
Braelinn                      1876                          1534                          81.77%
Kenwood                       1014                          795                           78.40%
Banks                         1624                          1229                          75.68%
Harps Crossing                1646                          1301                          79.04%
Willow Pond                   3100                          2396                          77.29%
Dogwood                       3092                          2549                          82.44%
Oak Ridge                     2225                          1708                          76.76%
Jeff Davis                    2876                          1988                          69.12%
Murphy                        3224                          2531                          78.50%
Fielding Ridge                3497                          2849                          81.47%
Willowbend                    2007                          1556                          77.53%
Camp Creek                    1895                          1539                          81.21%
Rising Star                   3833                          3464                          90.37%
Spring Hill                   3299                          2569                          77.87%
Antioch                       1956                          1508                          77.10%
Total:                        92307                         72421                         78.46%

                                                                                                                                                                                                                                 President of the United States
                                                            Donald J. Trump (I) (Rep)                                                                                                                             Joseph R. Biden (Dem)                                                                                                                                 Jo Jorgensen (Lib)                                                                                                                                    
County                        Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
Blackrock                     2699                          82                            307                           204                           5                             598                           146                           849                           490                           5                             1490                          3                             5                             5                             0                             13                            2101                          
Brooks                        2567                          529                           976                           286                           2                             1793                          44                            131                           168                           0                             343                           6                             5                             8                             0                             19                            2155                          
Europe                        3310                          53                            180                           87                            3                             323                           197                           1224                          778                           12                            2211                          7                             9                             10                            0                             26                            2560                          
Fayetteville East             2147                          75                            333                           157                           3                             568                           104                           517                           289                           5                             915                           9                             8                             9                             0                             26                            1509                          
Fayetteville West             2362                          120                           446                           166                           0                             732                           94                            567                           322                           1                             984                           8                             13                            3                             0                             24                            1740                          
Flint                         1732                          128                           231                           119                           0                             478                           87                            503                           235                           0                             825                           9                             6                             7                             0                             22                            1325                          
Hopeful                       2309                          150                           373                           105                           0                             628                           154                           547                           368                           1                             1070                          5                             11                            6                             0                             22                            1720                          
Morning Creek                 3059                          114                           524                           281                           1                             920                           145                           754                           515                           1                             1415                          4                             16                            5                             0                             25                            2360                          
Rareover                      3045                          140                           1187                          198                           3                             1528                          61                            563                           200                           0                             824                           11                            34                            3                             0                             48                            2400                          
Sandy Creek                   4848                          146                           957                           232                           3                             1338                          169                           1490                          590                           3                             2252                          5                             28                            7                             0                             40                            3630                          
Shakerag East                 1689                          179                           471                           124                           1                             775                           70                            248                           152                           1                             471                           11                            7                             2                             0                             20                            1266                          
Shakerag West                 1236                          49                            465                           119                           1                             634                           24                            223                           169                           1                             417                           4                             15                            2                             0                             21                            1072                          
Starrsmill                    3572                          377                           1138                          370                           0                             1885                          93                            300                           260                           0                             653                           18                            11                            5                             0                             34                            2572                          
Whitewater                    3564                          285                           1253                          357                           4                             1899                          94                            545                           351                           7                             997                           8                             16                            16                            0                             40                            2936                          
Woolsey                       2542                          324                           920                           339                           0                             1583                          53                            203                           220                           0                             476                           10                            8                             2                             0                             20                            2079                          
McIntosh                      3323                          189                           1116                          314                           1                             1620                          72                            568                           366                           1                             1007                          7                             15                            6                             0                             28                            2655                          
