Precinct,County,Registered Voters,Kenneth Deese (Dem)_Election Day Votes,Kenneth Deese (Dem)_Advanced Voting Votes,Kenneth Deese (Dem)_Absentee by Mail Votes,Kenneth Deese (Dem)_Provisional Votes,Kenneth Deese (Dem)_Choice Total,Total,
Anna,Baker,166,50,21,15,1,87,87,
Elmodel,Baker,401,68,101,61,1,231,231,
Hoggards Mill,Baker,351,68,68,45,0,181,181,
Milford,Baker,270,62,52,32,0,146,146,
Newton,Baker,1070,100,333,141,0,574,574,
