Precinct,County,Registered Voters,Chris Moore (I) (Dem)_Election Day Votes,Chris Moore (I) (Dem)_Advanced Voting Votes,Chris Moore (I) (Dem)_Absentee by Mail Votes,Chris Moore (I) (Dem)_Provisional Votes,Chris Moore (I) (Dem)_Choice Total,Total,
Anna,Baker,166,51,18,15,1,85,85,
Elmodel,Baker,401,61,104,68,1,234,234,
Hoggards Mill,Baker,351,68,75,48,0,191,191,
Milford,Baker,270,60,54,29,0,143,143,
Newton,Baker,1070,96,308,142,0,546,546,
