Precinct,County,Registered Voters,Tommy Rentz (I) (Dem)_Election Day Votes,Tommy Rentz (I) (Dem)_Advanced Voting Votes,Tommy Rentz (I) (Dem)_Absentee by Mail Votes,Tommy Rentz (I) (Dem)_Provisional Votes,Tommy Rentz (I) (Dem)_Choice Total,Total,
Anna,Baker,166,52,20,15,1,88,88,
Elmodel,Baker,401,65,104,71,1,241,241,
Hoggards Mill,Baker,351,66,67,45,0,178,178,
Milford,Baker,270,67,52,32,0,151,151,
Newton,Baker,1070,99,313,139,0,551,551,
