Precinct,County,Registered Voters,Lydia Burch (I) (Dem)_Election Day Votes,Lydia Burch (I) (Dem)_Advanced Voting Votes,Lydia Burch (I) (Dem)_Absentee by Mail Votes,Lydia Burch (I) (Dem)_Provisional Votes,Lydia Burch (I) (Dem)_Choice Total,Total,
Anna,Baker,166,51,22,15,1,89,89,
Elmodel,Baker,401,66,101,71,1,239,239,
Hoggards Mill,Baker,351,65,66,46,0,177,177,
Milford,Baker,270,65,53,33,0,151,151,
Newton,Baker,1070,94,316,139,0,549,549,
