Precinct,County,Registered Voters,Matt Bryan (I) (Dem)_Election Day Votes,Matt Bryan (I) (Dem)_Advanced Voting Votes,Matt Bryan (I) (Dem)_Absentee by Mail Votes,Matt Bryan (I) (Dem)_Provisional Votes,Matt Bryan (I) (Dem)_Choice Total,Total,
Anna,Baker,166,51,22,15,1,89,89,
Elmodel,Baker,401,64,107,71,1,243,243,
Hoggards Mill,Baker,351,65,67,47,0,179,179,
Milford,Baker,270,67,55,35,0,157,157,
Newton,Baker,1070,93,300,142,0,535,535,
