Precinct,County,Registered Voters,Shaw Blackmon (I) (Rep)_Election Day Votes,Shaw Blackmon (I) (Rep)_Advanced Voting Votes,Shaw Blackmon (I) (Rep)_Absentee by Mail Votes,Shaw Blackmon (I) (Rep)_Provisional Votes,Shaw Blackmon (I) (Rep)_Choice Total,Total,
BMS,Houston,9536,521,1147,585,2,2255,2255,
CGTC,Houston,4860,629,1622,602,4,2857,2857,
FMMS,Houston,8767,1375,2520,963,2,4860,4860,
MCMS,Houston,9181,1326,3038,1167,6,5537,5537,
ROZR,Houston,13802,1584,3609,1465,2,6660,6660,
TWPK,Houston,4415,648,988,466,1,2103,2103,
VHS,Houston,6295,392,824,257,1,1474,1474,
