Precinct,County,Registered Voters,Mark Kevin Kushinka (I) (Rep)_Election Day Votes,Mark Kevin Kushinka (I) (Rep)_Advanced Voting Votes,Mark Kevin Kushinka (I) (Rep)_Absentee by Mail Votes,Mark Kevin Kushinka (I) (Rep)_Provisional Votes,Mark Kevin Kushinka (I) (Rep)_Choice Total,Total,
ANNX,Houston,4512,587,1446,801,4,2838,2838,
BMS,Houston,9536,1563,3135,1505,2,6205,6205,
CENT,Houston,7795,1186,2022,1071,1,4280,4280,
CGTC,Houston,4860,634,1636,611,4,2885,2885,
FMMS,Houston,8767,1382,2575,1019,2,4978,4978,
HAFS,Houston,1805,667,372,153,1,1193,1193,
HCTC,Houston,6361,798,1405,785,3,2991,2991,
HEFS,Houston,1372,410,299,144,8,861,861,
HHPC,Houston,9610,1073,2076,1252,4,4405,4405,
MCMS,Houston,9181,1335,3070,1188,8,5601,5601,
NSES,Houston,2441,465,604,361,1,1431,1431,
RECR,Houston,9277,858,1149,842,8,2857,2857,
ROZR,Houston,13802,1883,4458,1738,7,8086,8086,
TMS,Houston,5286,713,1129,667,6,2515,2515,
TWPK,Houston,4415,773,1204,612,2,2591,2591,
VHS,Houston,6295,1124,2161,677,4,3966,3966,
