Precinct,County,Registered Voters,Matt Hatchett (I) (Rep)_Election Day Votes,Matt Hatchett (I) (Rep)_Advanced Voting Votes,Matt Hatchett (I) (Rep)_Absentee by Mail Votes,Matt Hatchett (I) (Rep)_Provisional Votes,Matt Hatchett (I) (Rep)_Choice Total,Total,
FBC-FLC,Laurens,4180,455,1449,633,1,2538,2538,
Calhoun Park,Laurens,6053,501,926,631,0,2058,2058,
Fire Dept Sta 5,Laurens,3672,605,1387,466,0,2458,2458,
Buckeye,Laurens,1047,247,164,105,0,516,516,
Brewton,Laurens,1739,501,382,143,1,1027,1027,
Dudley,Laurens,1121,374,346,131,0,851,851,
Hampton Mill,Laurens,1772,692,395,174,0,1261,1261,
Minter,Laurens,937,364,186,92,1,643,643,
Rural Fire Sta 17,Laurens,2344,541,595,232,0,1368,1368,
Reedy Springs,Laurens,894,415,150,64,0,629,629,
Smith,Laurens,3374,542,651,293,0,1486,1486,
LCFS 10 Valambrosia,Laurens,2080,370,536,218,0,1124,1124,
