Precinct,County,Registered Voters,Robert L. Oglesby (I) (Dem)_Election Day Votes,Robert L. Oglesby (I) (Dem)_Advanced Voting Votes,Robert L. Oglesby (I) (Dem)_Absentee by Mail Votes,Robert L. Oglesby (I) (Dem)_Provisional Votes,Robert L. Oglesby (I) (Dem)_Choice Total,Total,
Primary School,Jenkins,974,128,264,147,0,539,539,
Court House,Jenkins,1039,112,320,140,0,572,572,
Perkins,Jenkins,1021,150,357,133,3,643,643,
Senior Citizens Center,Jenkins,974,144,367,113,0,624,624,
Four Points,Jenkins,1058,246,291,112,1,650,650,
