Precinct,County,Registered Voters,Jared Murphy (I) (Rep)_Election Day Votes,Jared Murphy (I) (Rep)_Advanced Voting Votes,Jared Murphy (I) (Rep)_Absentee by Mail Votes,Jared Murphy (I) (Rep)_Provisional Votes,Jared Murphy (I) (Rep)_Choice Total,Total,
1B,Appling,1309,244,505,141,0,890,890,
1C,Appling,848,174,345,71,2,592,592,
2,Appling,2251,234,538,206,1,979,979,
3A1,Appling,793,228,283,60,0,571,571,
3C,Appling,1566,137,654,173,0,964,964,
4B,Appling,866,245,321,75,0,641,641,
4D,Appling,1493,249,643,174,1,1067,1067,
5A,Appling,1147,147,472,108,3,730,730,
5B,Appling,1126,207,421,114,3,745,745,
