Precinct,County,Registered Voters,Robert Matthew (I)_Election Day Votes,Robert Matthew (I)_Advanced Voting Votes,Robert Matthew (I)_Absentee by Mail Votes,Robert Matthew (I)_Provisional Votes,Robert Matthew (I)_Choice Total,Total,
1B,Appling,1309,237,487,137,0,861,861,
1C,Appling,848,170,333,67,2,572,572,
2,Appling,2251,224,521,223,1,969,969,
3A1,Appling,793,214,273,52,0,539,539,
3C,Appling,1566,135,634,164,0,933,933,
4B,Appling,866,230,297,67,0,594,594,
4D,Appling,1493,236,619,163,1,1019,1019,
5A,Appling,1147,142,440,107,3,692,692,
5B,Appling,1126,195,401,113,3,712,712,
