Precinct,County,Registered Voters,Rick W. Allen (I) (Rep)_Election Day Votes,Rick W. Allen (I) (Rep)_Advanced Voting Votes,Rick W. Allen (I) (Rep)_Absentee by Mail Votes,Rick W. Allen (I) (Rep)_Provisional Votes,Rick W. Allen (I) (Rep)_Choice Total,Liz Johnson (Dem)_Election Day Votes,Liz Johnson (Dem)_Advanced Voting Votes,Liz Johnson (Dem)_Absentee by Mail Votes,Liz Johnson (Dem)_Provisional Votes,Liz Johnson (Dem)_Choice Total,Total,
1B,Appling,1309,231,480,122,1,834,29,52,45,0,126,960,
1C,Appling,848,174,339,66,2,581,15,18,8,0,41,622,
2,Appling,2251,137,309,76,0,522,153,424,281,1,859,1381,
3A1,Appling,793,224,286,62,0,572,4,6,9,0,19,591,
3C,Appling,1566,106,588,129,0,823,49,124,98,0,271,1094,
4B,Appling,866,246,313,70,0,629,3,11,8,0,22,651,
4D,Appling,1493,232,629,157,1,1019,17,60,38,0,115,1134,
5A,Appling,1147,132,439,97,1,669,20,54,35,2,111,780,
5B,Appling,1126,194,392,97,3,686,32,59,35,0,126,812,
