Precinct,County,Registered Voters,Taylor Bridges (I) (Rep)_Election Day Votes,Taylor Bridges (I) (Rep)_Advanced Voting Votes,Taylor Bridges (I) (Rep)_Absentee by Mail Votes,Taylor Bridges (I) (Rep)_Provisional Votes,Taylor Bridges (I) (Rep)_Choice Total,Total,
Blakely,Early,3445,2,35,10,0,47,47,
Cedar Springs,Early,1114,225,199,98,0,522,522,
Cuba,Early,1180,173,329,86,0,588,588,
