Precinct,County,Registered Voters,Eddie Johnson (I) (Dem)_Election Day Votes,Eddie Johnson (I) (Dem)_Advanced Voting Votes,Eddie Johnson (I) (Dem)_Absentee by Mail Votes,Eddie Johnson (I) (Dem)_Provisional Votes,Eddie Johnson (I) (Dem)_Choice Total,Total,
Livingston,Newton,4593,311,547,419,1,1278,1278,
Downs,Newton,6215,604,993,632,0,2229,2229,
Buck Creek,Newton,4839,700,929,817,1,2447,2447,
Stansells,Newton,4969,596,1215,831,0,2642,2642,
