Precinct,County,Registered Voters,Melanie McCrorey Bell (I) (Rep)_Election Day Votes,Melanie McCrorey Bell (I) (Rep)_Advanced Voting Votes,Melanie McCrorey Bell (I) (Rep)_Absentee by Mail Votes,Melanie McCrorey Bell (I) (Rep)_Provisional Votes,Melanie McCrorey Bell (I) (Rep)_Choice Total,Total,
City Pond,Newton,1833,252,219,200,0,671,671,
Town,Newton,4378,495,522,518,0,1535,1535,
Almon,Newton,5009,558,840,576,2,1976,1976,
Alcovy,Newton,4620,727,1010,659,2,2398,2398,
Covington Mills,Newton,3111,516,504,402,0,1422,1422,
Brewers,Newton,3538,1182,566,353,4,2105,2105,
Brick Store,Newton,2623,824,497,360,0,1681,1681,
Cedar Shoals,Newton,2838,521,393,298,0,1212,1212,
Livingston,Newton,4593,574,744,504,4,1826,1826,
Downs,Newton,6215,1007,1351,687,1,3046,3046,
Gum Creek,Newton,4135,1011,947,655,1,2614,2614,
Beaverdam,Newton,5428,528,956,556,2,2042,2042,
Leguinn,Newton,2177,773,343,277,3,1396,1396,
Mansfield,Newton,1524,789,172,150,0,1111,1111,
Newborn,Newton,784,408,63,67,0,538,538,
Oxford,Newton,2418,614,444,394,1,1453,1453,
Rocky Plains,Newton,3658,737,718,383,0,1838,1838,
Buck Creek,Newton,4839,771,894,583,2,2250,2250,
Stansells,Newton,4969,490,812,511,0,1813,1813,
Fairview,Newton,2953,282,415,264,2,963,963,
Crowell,Newton,4977,416,735,443,1,1595,1595,
Hub,Newton,2374,907,488,340,1,1736,1736,
