Precinct,County,Registered Voters,Karen F. Taylor (I) (Dem)_Election Day Votes,Karen F. Taylor (I) (Dem)_Advanced Voting Votes,Karen F. Taylor (I) (Dem)_Absentee by Mail Votes,Karen F. Taylor (I) (Dem)_Provisional Votes,Karen F. Taylor (I) (Dem)_Choice Total,Total,
Leary,Calhoun,721,148,179,139,0,466,466,
Morgan,Calhoun,662,94,227,108,0,429,429,
Edison,Calhoun,523,87,117,67,0,271,271,
Edison-Arlington,Calhoun,594,111,166,86,0,363,363,
Arlington,Calhoun,684,126,164,128,0,418,418,
