Precinct,County,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
Leary,Calhoun,721,78,115,35,0,228,78,78,106,0,262,2,3,0,0,5,495,
Morgan,Calhoun,662,81,193,61,0,335,22,58,60,0,140,1,2,0,0,3,478,
Edison,Calhoun,523,20,29,12,0,61,71,94,58,0,223,3,2,1,0,6,290,
Edison-Arlington,Calhoun,594,55,77,28,0,160,59,98,64,0,221,1,1,0,0,2,383,
Arlington,Calhoun,684,35,69,18,0,122,98,103,131,0,332,2,1,1,0,4,458,
