Precinct,County,Registered Voters,Josh Hilton (I) (Dem)_Election Day Votes,Josh Hilton (I) (Dem)_Advanced Voting Votes,Josh Hilton (I) (Dem)_Absentee by Mail Votes,Josh Hilton (I) (Dem)_Provisional Votes,Josh Hilton (I) (Dem)_Choice Total,Total,
Leary,Calhoun,721,149,180,134,0,463,463,
Morgan,Calhoun,662,97,224,108,0,429,429,
Edison,Calhoun,523,85,115,70,0,270,270,
Edison-Arlington,Calhoun,594,112,170,88,0,370,370,
Arlington,Calhoun,684,126,163,131,0,420,420,
