Precinct,County,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
1A,Clarke,3017,294,237,183,0,714,267,470,462,3,1202,10,6,12,0,28,1944,
1B,Clarke,3645,146,408,252,1,807,197,735,756,1,1689,10,15,11,2,38,2534,
1C,Clarke,2242,155,259,147,0,561,138,521,585,0,1244,4,20,8,0,32,1837,
1D,Clarke,2830,183,357,270,1,811,144,579,740,1,1464,14,8,11,0,33,2308,
2A,Clarke,4341,154,175,131,0,460,450,741,673,0,1864,10,8,12,1,31,2355,
2B,Clarke,5136,117,154,56,0,327,420,1151,756,7,2334,15,12,9,0,36,2697,
3A,Clarke,2938,43,97,37,1,178,262,588,455,4,1309,9,7,7,0,23,1510,
3B,Clarke,4122,128,229,71,2,430,257,999,584,2,1842,14,17,5,0,36,2308,
4A,Clarke,2072,76,178,65,0,319,176,454,336,1,967,5,16,8,0,29,1315,
4B,Clarke,4096,203,407,123,2,735,266,1042,663,1,1972,21,24,15,0,60,2767,
5A,Clarke,3007,101,371,192,1,665,189,847,618,0,1654,12,10,11,0,33,2352,
5B,Clarke,3030,139,265,195,1,600,240,657,641,0,1538,5,9,11,0,25,2163,
5C,Clarke,2053,47,73,37,0,157,131,795,495,1,1422,11,5,3,0,19,1598,
5D,Clarke,3087,100,217,112,1,430,311,647,465,4,1427,15,11,10,0,36,1893,
6A,Clarke,3780,211,640,358,2,1211,196,625,629,3,1453,12,15,13,0,40,2704,
6B,Clarke,3865,173,446,302,0,921,228,735,796,1,1760,13,17,17,0,47,2728,
6C,Clarke,3129,191,438,253,0,882,170,578,619,0,1367,12,18,13,0,43,2292,
6D,Clarke,1701,92,150,69,0,311,128,457,394,0,979,9,7,3,0,19,1309,
7A,Clarke,2968,160,375,246,1,782,189,599,585,1,1374,8,11,10,0,29,2185,
7B,Clarke,3166,118,428,227,0,773,155,622,618,2,1397,17,19,11,0,47,2217,
7C,Clarke,2733,165,324,175,1,665,171,621,551,1,1344,12,20,10,0,42,2051,
8A,Clarke,3319,128,259,214,0,601,195,650,695,3,1543,13,18,12,0,43,2187,
8B,Clarke,2317,116,167,148,0,431,173,442,483,0,1098,6,7,7,0,20,1549,
8C,Clarke,3910,169,320,185,1,675,270,802,730,3,1805,11,25,14,0,50,2530,
