Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
1A,Clarke,3017,381,495,446,2,1324,159,171,170,2,502,1826,
1B,Clarke,3645,230,840,769,4,1843,97,253,198,0,548,2391,
1C,Clarke,2242,221,600,593,0,1414,63,166,117,0,346,1760,
1D,Clarke,2830,243,678,818,0,1739,88,212,171,0,471,2210,
2A,Clarke,4341,447,650,562,0,1659,135,211,196,1,543,2202,
2B,Clarke,5136,396,967,593,2,1958,127,256,172,3,558,2516,
3A,Clarke,2938,236,525,357,4,1122,61,130,111,1,303,1425,
3B,Clarke,4122,292,997,507,3,1799,86,175,102,1,364,2163,
4A,Clarke,2072,196,514,316,0,1026,46,115,79,1,241,1267,
4B,Clarke,4096,356,1154,637,1,2148,108,246,121,1,476,2624,
5A,Clarke,3007,211,926,645,1,1783,71,229,126,0,426,2209,
5B,Clarke,3030,273,684,613,0,1570,89,208,188,1,486,2056,
5C,Clarke,2053,145,712,434,1,1292,38,120,59,0,217,1509,
5D,Clarke,3087,297,627,433,5,1362,98,210,118,0,426,1788,
6A,Clarke,3780,290,872,704,3,1869,99,330,234,1,664,2533,
6B,Clarke,3865,293,866,848,1,2008,102,272,219,0,593,2601,
6C,Clarke,3129,268,780,639,0,1687,88,192,192,0,472,2159,
6D,Clarke,1701,157,456,367,0,980,62,112,72,0,246,1226,
7A,Clarke,2968,254,705,618,1,1578,85,237,170,0,492,2070,
7B,Clarke,3166,213,791,666,2,1672,68,230,129,0,427,2099,
7C,Clarke,2733,262,754,585,2,1603,62,178,125,0,365,1968,
8A,Clarke,3319,239,736,731,3,1709,70,160,144,0,374,2083,
8B,Clarke,2317,207,467,527,0,1201,79,125,100,0,304,1505,
8C,Clarke,3910,339,889,721,4,1953,94,208,159,0,461,2414,
