Precinct,County,Registered Voters,Bill Cowsert (I) (Rep)_Election Day Votes,Bill Cowsert (I) (Rep)_Advanced Voting Votes,Bill Cowsert (I) (Rep)_Absentee by Mail Votes,Bill Cowsert (I) (Rep)_Provisional Votes,Bill Cowsert (I) (Rep)_Choice Total,Zachary Perry (Dem)_Election Day Votes,Zachary Perry (Dem)_Advanced Voting Votes,Zachary Perry (Dem)_Absentee by Mail Votes,Zachary Perry (Dem)_Provisional Votes,Zachary Perry (Dem)_Choice Total,Total,
2B,Clarke,5136,118,163,72,0,353,413,1101,724,4,2242,2595,
3A,Clarke,2938,53,104,49,1,207,249,566,434,3,1252,1459,
3B,Clarke,4122,141,264,85,1,491,240,943,555,2,1740,2231,
4B,Clarke,4096,234,491,179,1,905,241,952,610,1,1804,2709,
5A,Clarke,3007,117,399,234,1,751,170,808,570,0,1548,2299,
5B,Clarke,3030,142,276,213,1,632,233,629,611,0,1473,2105,
5C,Clarke,2053,60,92,53,0,205,129,774,466,1,1370,1575,
6A,Clarke,3780,214,653,388,1,1256,192,594,586,3,1375,2631,
6B,Clarke,3865,187,480,354,0,1021,221,695,737,1,1654,2675,
6C,Clarke,3129,214,483,322,0,1019,147,539,541,0,1227,2246,
6D,Clarke,1701,104,159,78,0,341,115,439,372,0,926,1267,
7A,Clarke,2968,180,422,284,1,887,164,545,540,0,1249,2136,
7B,Clarke,3166,147,481,277,0,905,139,576,550,2,1267,2172,
7C,Clarke,2733,188,401,247,0,836,146,563,479,1,1189,2025,
