Precinct,County,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
Senoia,Coweta,5838,968,1744,675,0,3387,138,431,431,1,1001,61,49,38,0,148,4536,
Moreland,Coweta,2758,874,572,288,0,1734,107,88,167,0,362,26,14,14,1,55,2151,
Pine Road,Coweta,2095,531,485,229,0,1245,44,96,91,0,231,15,7,11,0,33,1509,
Dresden,Coweta,839,326,109,68,0,503,42,21,42,0,105,14,2,0,0,16,624,
Newnan,Coweta,3478,316,349,181,0,846,299,413,475,0,1187,32,20,22,0,74,2107,
Sharpsburg,Coweta,4526,830,1430,422,1,2683,114,286,233,0,633,44,58,25,0,127,3443,
Fischer Road,Coweta,4328,668,1313,468,0,2449,125,333,339,2,799,42,45,19,0,106,3354,
Cedar Creek,Coweta,5330,943,1582,661,0,3186,116,362,398,0,876,64,44,41,0,149,4211,
Grantville,Coweta,2572,649,343,165,0,1157,195,142,171,0,508,30,15,11,1,57,1722,
Haralson,Coweta,2339,753,490,186,0,1429,86,67,131,0,284,27,15,11,0,53,1766,
Welcome,Coweta,3212,1005,457,299,0,1761,135,126,191,0,452,44,16,17,0,77,2290,
Panther Creek,Coweta,3028,831,488,252,0,1571,130,120,206,0,456,39,17,16,0,72,2099,
Raymond,Coweta,2492,597,643,248,0,1488,83,118,137,0,338,27,9,10,0,46,1872,
Turin,Coweta,4477,992,1327,447,0,2766,138,280,253,0,671,51,36,16,0,103,3540,
Smokey Road,Coweta,2559,402,329,167,0,898,209,242,270,1,722,20,16,15,0,51,1671,
Central,Coweta,4395,266,389,168,1,824,424,569,488,3,1484,35,16,15,1,67,2375,
Newnan Centre,Coweta,20465,2041,4522,1836,0,8399,993,2692,2107,2,5794,177,192,113,0,482,14675,
Greentop,Coweta,2846,460,451,313,0,1224,164,252,286,1,703,30,19,21,0,70,1997,
Expo Center,Coweta,1974,455,344,253,0,1052,118,120,135,0,373,31,15,11,0,57,1482,
White Oak,Coweta,4636,672,1266,411,1,2350,192,419,357,0,968,42,58,17,0,117,3435,
Madras,Coweta,4462,699,1119,474,0,2292,162,476,423,3,1064,48,53,22,1,124,3480,
Cannongate,Coweta,3653,776,1028,409,0,2213,102,239,209,0,550,49,32,30,0,111,2874,
Westside,Coweta,838,77,54,40,0,171,156,75,100,0,331,11,3,0,0,14,516,
Northside,Coweta,2285,519,338,254,0,1111,178,148,201,1,528,33,16,19,0,68,1707,
Thomas Crossroads,Coweta,4962,793,1593,446,0,2832,137,365,296,0,798,52,58,23,0,133,3763,
Coweta Central Library,Coweta,1723,275,595,153,0,1023,50,135,93,0,278,14,12,14,0,40,1341,
