Precinct,County,Registered Voters,Josh Bonner (I) (Rep)_Election Day Votes,Josh Bonner (I) (Rep)_Advanced Voting Votes,Josh Bonner (I) (Rep)_Absentee by Mail Votes,Josh Bonner (I) (Rep)_Provisional Votes,Josh Bonner (I) (Rep)_Choice Total,Fred Rovner (Dem)_Election Day Votes,Fred Rovner (Dem)_Advanced Voting Votes,Fred Rovner (Dem)_Absentee by Mail Votes,Fred Rovner (Dem)_Provisional Votes,Fred Rovner (Dem)_Choice Total,Total,
Senoia,Coweta,5838,1036,1804,715,0,3555,141,438,436,1,1016,4571,
Haralson,Coweta,2339,778,506,196,0,1480,94,70,132,0,296,1776,
Turin,Coweta,4477,482,720,226,0,1428,39,91,90,0,220,1648,
