Precinct,County,Registered Voters,Matt Brass (I) (Rep)_Election Day Votes,Matt Brass (I) (Rep)_Advanced Voting Votes,Matt Brass (I) (Rep)_Absentee by Mail Votes,Matt Brass (I) (Rep)_Provisional Votes,Matt Brass (I) (Rep)_Choice Total,Total,
Senoia,Coweta,5838,1105,1978,835,1,3919,3919,
Moreland,Coweta,2758,951,628,354,0,1933,1933,
Pine Road,Coweta,2095,578,534,273,0,1385,1385,
Dresden,Coweta,839,365,118,88,0,571,571,
Newnan,Coweta,3478,490,539,387,0,1416,1416,
Sharpsburg,Coweta,4526,927,1620,511,1,3059,3059,
Fischer Road,Coweta,4328,775,1498,599,2,2874,2874,
Cedar Creek,Coweta,5330,1048,1765,858,0,3671,3671,
Grantville,Coweta,2572,785,423,240,1,1449,1449,
Haralson,Coweta,2339,823,530,242,0,1595,1595,
Welcome,Coweta,3212,1119,540,391,0,2050,2050,
Panther Creek,Coweta,3028,933,566,368,0,1867,1867,
Raymond,Coweta,2492,667,702,316,0,1685,1685,
Turin,Coweta,4477,1123,1480,564,0,3167,3167,
Smokey Road,Coweta,2559,518,462,281,1,1262,1262,
Central,Coweta,4395,508,644,349,3,1504,1504,
Newnan Centre,Coweta,20465,2728,5880,2753,2,11363,11363,
Greentop,Coweta,2846,583,582,449,0,1614,1614,
Expo Center,Coweta,1974,547,418,327,0,1292,1292,
White Oak,Coweta,4636,817,1469,553,1,2840,2840,
Madras,Coweta,4462,828,1375,660,2,2865,2865,
Cannongate,Coweta,3653,884,1152,486,0,2522,2522,
Westside,Coweta,838,169,89,82,0,340,340,
Northside,Coweta,2285,637,426,335,0,1398,1398,
Thomas Crossroads,Coweta,4962,907,1808,563,0,3278,3278,
Coweta Central Library,Coweta,1723,312,658,204,0,1174,1174,
