Precinct,County,Registered Voters,Paul Keith Poole (I) (Rep)_Election Day Votes,Paul Keith Poole (I) (Rep)_Advanced Voting Votes,Paul Keith Poole (I) (Rep)_Absentee by Mail Votes,Paul Keith Poole (I) (Rep)_Provisional Votes,Paul Keith Poole (I) (Rep)_Choice Total,Total,
Senoia,Coweta,5838,1100,1984,837,1,3922,3922,
Sharpsburg,Coweta,4526,920,1604,504,1,3029,3029,
Haralson,Coweta,2339,821,529,248,0,1598,1598,
Turin,Coweta,4477,1113,1482,560,0,3155,3155,
Newnan Centre,Coweta,20465,728,1862,668,0,3258,3258,
Coweta Central Library,Coweta,1723,313,665,202,0,1180,1180,
