Precinct,County,Registered Voters,Bert Poston (I) (Rep)_Election Day Votes,Bert Poston (I) (Rep)_Advanced Voting Votes,Bert Poston (I) (Rep)_Absentee by Mail Votes,Bert Poston (I) (Rep)_Provisional Votes,Bert Poston (I) (Rep)_Choice Total,Total,
McDonald,Murray,2524,344,970,166,0,1480,1480,
Shuck Pen,Murray,2940,661,950,167,0,1778,1778,
Southwest,Murray,3215,690,839,220,0,1749,1749,
Spring Place,Murray,3671,551,1395,247,0,2193,2193,
Town,Murray,5766,708,2396,474,0,3578,3578,
Carters-Doolittle,Murray,2045,448,601,132,0,1181,1181,
North,Murray,2123,549,679,147,0,1375,1375,
